snapshot_index,scheduled_utc,hours_from_first_snapshot,effective_h1,effective_h1_shot_sigma,effective_h2,effective_h2_shot_sigma
32,2026-08-01T05:02:00+00:00,13.333333333333334,-0.6006453011686499,0.09328808150561978,3.197684478627549,0.3564843147631742
33,2026-08-01T05:27:00+00:00,13.75,1.388993858761287,0.15299026311176345,2.8642691687838986,0.2303425277030536
34,2026-08-03T04:32:00+00:00,60.833333333333336,1.4675950465243757,0.16305289031822515,2.4094611590793242,0.1808559761542955
35,2026-08-03T04:57:00+00:00,61.25,1.2939380130433793,0.18795216254931205,2.6629681728168086,0.15878624873192762
36,2026-08-03T05:22:00+00:00,61.666666666666664,2.186255791714758,0.13845015068460856,3.398171724032427,0.15693619906809667
37,2026-08-03T05:47:00+00:00,62.083333333333336,2.316083514190975,0.12703211002058826,2.767936688728103,0.14085798510501085
38,2026-08-03T06:12:00+00:00,62.5,2.34575031111597,0.12059289446765611,2.991059987030783,0.13391082634359103
39,2026-08-03T06:37:00+00:00,62.916666666666664,2.1052613411815364,0.11004984704776301,3.2550926206469875,0.12804989220096907
40,2026-08-03T07:02:00+00:00,63.333333333333336,1.0617052115694776,0.25411670738942765,3.255437283327855,0.1331318893291251
41,2026-08-03T07:27:00+00:00,63.75,2.3231454876506348,0.10760481459271007,3.02486005027365,0.11278999598217918
42,2026-08-03T07:52:00+00:00,64.16666666666667,1.5037054291990413,0.16502121550423687,3.2077956199239424,0.17470373974462003
43,2026-08-03T08:17:00+00:00,64.58333333333333,2.2197073865746595,0.12793878393475028,3.165596465308749,0.15811832791726305
44,2026-08-03T08:42:00+00:00,65.0,2.2454286503204917,0.1252844345505284,3.033869138888252,0.13333392302534636
45,2026-08-03T09:07:00+00:00,65.41666666666667,2.6326359660082357,0.1212539925058318,3.0788499831969003,0.14675062846339526
46,2026-08-03T09:32:00+00:00,65.83333333333333,1.9832317853570043,0.0946446244598304,2.360868105174248,0.25001307211066753
47,2026-08-03T09:57:00+00:00,66.25,2.407220611528657,0.10747712092528841,2.8236243557433345,0.12494626150725324
48,2026-08-03T10:22:00+00:00,66.66666666666667,1.7029599325442697,0.10883224094994438,1.7725582945403668,0.21700573798408102
49,2026-08-03T10:47:00+00:00,67.08333333333333,1.1090984269405813,0.1303977980146241,2.0057244702082646,0.16410527052372742
50,2026-08-03T11:12:00+00:00,67.5,0.6854753939104388,0.13599346600815906,2.5293319491654787,0.2199256997428656
51,2026-08-03T11:37:00+00:00,67.91666666666667,0.5480436187610754,0.13351846767511266,2.5344367761016984,0.3303719784691569
52,2026-08-03T12:02:00+00:00,68.33333333333333,2.0942537213186783,0.09946073712002679,3.152191947987975,0.21482734262471334
53,2026-08-03T12:27:00+00:00,68.75,2.0896377910377084,0.0805646173364974,2.1942524805046197,0.2498228437223799
54,2026-08-03T12:52:00+00:00,69.16666666666667,1.9633183821360314,0.07886669446901477,2.8452802363900935,0.19779800270420872
55,2026-08-03T13:17:00+00:00,69.58333333333333,1.858826454356533,0.0803165784259315,3.259232038902877,0.26378159926234374
56,2026-08-03T13:42:00+00:00,70.0,2.251728206577727,0.10211467810762234,3.2833951640181014,0.14896136911224014
57,2026-08-03T14:07:00+00:00,70.41666666666667,1.894794488036241,0.10896167622888549,3.0529163638809016,0.16346558076295986
58,2026-08-03T14:32:00+00:00,70.83333333333333,1.8043329909887036,0.13143631469172498,2.9337412008612582,0.1911277272267615
59,2026-08-03T14:57:00+00:00,71.25,2.0371147495017943,0.0848194645118993,2.6330893021913404,0.21955101004725208
60,2026-08-03T15:22:00+00:00,71.66666666666667,1.9631341839004863,0.0857946243573582,2.8285398937647006,0.21583985574951178
61,2026-08-03T15:47:00+00:00,72.08333333333333,1.951137953201521,0.08851477723375133,2.866141857188015,0.30906726615710495
62,2026-08-03T16:12:00+00:00,72.5,1.6730755769470205,0.09998280930496717,1.706466283521305,0.1985192795245326
63,2026-08-03T16:37:00+00:00,72.91666666666667,2.0201495380085057,0.07579867517701108,2.750353126440317,0.20959846361066484
64,2026-08-03T17:02:00+00:00,73.33333333333333,1.3423534736336868,0.1003607751577773,1.9632411116577555,0.21177006149158892
65,2026-08-03T17:27:00+00:00,73.75,2.3357707398474736,0.1226641189378553,3.284905800712418,0.11241345703561553
66,2026-08-03T17:52:00+00:00,74.16666666666667,1.6690546794419614,0.17209396882695166,2.803809570992699,0.1588720291375204
67,2026-08-03T18:17:00+00:00,74.58333333333333,1.9323356169920816,0.22069270677953157,3.166408184702976,0.14245926348410543
68,2026-08-03T18:42:00+00:00,75.0,1.1976394322348836,0.18013192660454905,2.4753405403746545,0.17286984965479715
69,2026-08-03T19:07:00+00:00,75.41666666666667,1.719906705407309,0.18147632939655703,2.3218638053932263,0.11636531262436159
70,2026-08-03T19:32:00+00:00,75.83333333333333,2.2230070026766726,0.126102808477786,3.2719973436453387,0.12990038066914383
71,2026-08-03T19:57:00+00:00,76.25,2.3399564658672944,0.10222236285236873,3.1686712562695365,0.10643338458293441
72,2026-08-03T20:22:00+00:00,76.66666666666667,2.2241700359670724,0.12284123559624446,3.1431135327404482,0.1399475488794448
73,2026-08-03T20:47:00+00:00,77.08333333333333,1.706701407569462,0.1252367580573958,2.4282176927107426,0.21461751852597866
74,2026-08-03T21:12:00+00:00,77.5,0.9483371268780877,0.11982705867415776,0.027342275631651442,0.26079421180419105
75,2026-08-03T21:37:00+00:00,77.91666666666667,1.5302615795463794,0.10180539640851133,2.126132804995189,0.2357688923777261
76,2026-08-03T22:02:00+00:00,78.33333333333333,1.6859396392297057,0.10171945431832936,1.5891758362268642,0.19940603794085374
77,2026-08-03T22:27:00+00:00,78.75,1.9633122779193823,0.08575236329111689,2.7032330077970976,0.19691436556039707
