channel,interval_seconds,ou_point_residual_variance,ou_uncertainty_lower,ou_uncertainty_upper,nonparametric_residual_variance,no_sensing_process_variance,no_sensing_ci_lower,no_sensing_ci_upper
e1_readout_all_one,4.658798004081117,0.00010510861659510373,0.00010498252260399233,0.012098624561494523,0.00010498252260399233,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,4.8301731389543425,0.0001013884605299195,0.00010125772983714638,0.012514483187131163,0.00010125772983714638,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.007852354156246,9.780062998647941e-05,9.766509317411483e-05,0.012944351866992965,9.766509317411483e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.192067546973556,9.43404470779741e-05,9.419992370013962e-05,0.01338862668118714,9.419992370013962e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.383059145096942,9.100338849730955e-05,9.085769886373266e-05,0.013847711151437245,9.085769886373266e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.581076420414181,8.77851095236132e-05,8.763405657408714e-05,0.014322016024530775,8.763405657408714e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.78637781434635,8.468139872821749e-05,8.452478950791252e-05,0.014811959020919903,8.452478950791252e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,5.999231275151554,8.168820498892179e-05,8.152583961826417e-05,0.015317964545997466,8.152583961826417e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,6.21991460763648,7.880163186897444e-05,7.863329283820047e-05,0.015840463361470852,7.863329283820047e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,6.448715835732199,7.601791034070859e-05,7.584337397235425e-05,0.01637989221416694,7.584337397235425e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,6.6859335784073695,7.333339561920254e-05,7.31524417697528e-05,0.01693669341950854,7.31524417697528e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,6.931877439409556,7.074459268949205e-05,7.055698417145415e-05,0.017511314396821694,7.055698417145415e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,7.1868684113432675,6.824812289100656e-05,6.805361372679785e-05,0.01810420715355705,6.805361372679785e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,7.451239294612116,6.584073177212222e-05,6.563906317228809e-05,0.018715827715438085,6.563906317228809e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,7.7253351317718675,6.351926504115569e-05,6.331018116733828e-05,0.019346635499497014,6.331018116733828e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,8.009513657861323,6.128070633376419e-05,6.106392818131183e-05,0.01999709262690785,6.106392818131183e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,8.304145767298671,5.912212513004508e-05,5.889737252649183e-05,0.02066766317250077,5.889737252649183e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,8.609615997952817,5.70407029431373e-05,5.68076865318007e-05,0.021358812347826477,5.68076865318007e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,8.926323033021374,5.503373394896264e-05,5.4792142852277276e-05,0.02207100561464335,5.4792142852277276e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,9.254680221370366,5.309858928842542e-05,5.2848110909493835e-05,0.022804707725730896,5.2848110909493835e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,9.595116117014813,5.123274440543987e-05,5.09730534582675e-05,0.02356038168998219,5.09730534582675e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,9.948075038444163,4.9433766534423005e-05,4.9164523275185524e-05,0.024338487658811723,4.9164523275185524e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,10.314017648522745,4.769930902423101e-05,4.7420159964621725e-05,0.02513948173102439,4.7420159964621725e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,10.693421555721988,4.602710200998545e-05,4.573768687807595e-05,0.025963814673440454,4.573768687807595e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,11.086781937469118,4.441496871753465e-05,4.4114908142815856e-05,0.026811930554755167,4.4114908142815856e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,11.494612186425897,4.2860804007744855e-05,4.254970579594274e-05,0.027684265290341806,4.254970579594274e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,11.917444580540975,4.136258176835023e-05,4.104003702014098e-05,0.028581245095980215,4.104003702014098e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,12.355830977750145,3.9918338525253775e-05,3.958393147750377e-05,0.029503284848819877,3.958393147750377e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,12.810343536231494,3.852619966703727e-05,3.817948873795462e-05,0.03045078635426802,3.817948873795462e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,13.281575461155233,3.7184340935493834e-05,3.682487579890909e-05,0.031424136517932015,3.682487579890909e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,13.770141778902966,3.5891010844684253e-05,3.551832469293899e-05,0.03242370542225315,3.551832469293899e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,14.276680139766782,3.464452724409715e-05,3.425813018031723e-05,0.03344984430803837,3.425813018031723e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,14.801851650175935,3.34432583076525e-05,3.304264752343108e-05,0.03450288346174573,3.304264752343108e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,15.346341735537063,3.228563623894103e-05,3.187029034015993e-05,0.035583130010098316,3.187029034015993e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,15.910861034814344,3.117015234062327e-05,3.0739528533415234e-05,0.03669086562440587,3.0739528533415234e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,16.496146328016977,3.0095352576451754e-05,2.9648886294140585e-05,0.03782634413785842,2.9648886294140585e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,17.102961497804507,2.905982928968366e-05,2.859694017516583e-05,0.038989789080028495,2.859694017516583e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,17.732098526465172,2.8062233822436317e-05,2.7582317233400733e-05,0.04018139113388018,2.7582317233400733e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,18.384378529568174,2.7101264140250125e-05,2.660369323794424e-05,0.041401305521731255,2.660369323794424e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,19.060652827639313,2.6175664596200744e-05,2.56597909417699e-05,0.042649649327858974,2.56597909417699e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,19.761804057258395,2.528422860676808e-05,2.47493784147323e-05,0.04392649876676576,2.47493784147323e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,20.4887473230287,2.44257916349096e-05,2.387126743571852e-05,0.045231886407539994,2.387126743571852e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,21.2424313919219,2.3599234399674315e-05,2.3024311941846393e-05,0.046565798366245026,2.3024311941846393e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,22.023839931557433,2.2803478049202923e-05,2.2207406532685126e-05,0.04792817147984772,2.2207406532685126e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,22.83399279403195,2.2037483138948224e-05,2.1419485027546856e-05,0.04931889047684131,2.1419485027546856e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,23.673947346975307,2.1300249513598516e-05,2.0659519073965027e-05,0.05073778516142718,2.0659519073965027e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,24.544799853569412,2.059081688864493e-05,1.9926516805544627e-05,0.052184627629868856,1.9926516805544627e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,25.447686903331363,1.9908258328966203e-05,1.9219521547431995e-05,0.053659129539417816,1.9219521547431995e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,26.383786895528882,1.925168293061673e-05,1.8537610567714367e-05,0.055160939452010185,1.8537610567714367e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,27.354321577162793,1.8620233229527936e-05,1.787989387312047e-05,0.05668964027671901,1.7886518915495695e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,28.36055763752539,1.8013085657498467e-05,1.7245513047449236e-05,0.05824474683670857,1.731095800879837e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,29.403808361414537,1.742944808073667e-05,1.6633640131211603e-05,0.05982570358812863,1.681882693011764e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,30.48543534316165,1.686855840645522e-05,1.604347654102276e-05,0.061431882519991064,1.6409483376628595e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,31.606850263711298,1.63296849953191e-05,1.5474252027334106e-05,0.06306258126554548,1.6082393095299465e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,32.76951673307018,1.5812123515475046e-05,1.4925223669145546e-05,0.06471702145697246,1.5837129185613705e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,33.974952200532165,1.531519866602247e-05,1.4395674904384978e-05,0.06639434735631355,1.5673371542402395e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
e1_readout_all_one,35.22472993517035,1.4838263419941117e-05,1.3884914594690555e-05,0.06809362479638954,1.5590906438060453e-05,0.001946241867434051,0.0013059802689043675,0.003591581461102063
