channel,interval_seconds,ou_point_residual_variance,ou_uncertainty_lower,ou_uncertainty_upper,nonparametric_residual_variance,no_sensing_process_variance,no_sensing_ci_lower,no_sensing_ci_upper,grid_index,log10_ou_point_residual_variance,log10_nonparametric_residual_variance,log10_no_sensing_process_variance,is_ou_grid_minimum,is_nonparametric_grid_minimum
e1_readout_all_one,0.023861981030852655,0.020496720510632775,0.020496720832171036,0.020561148010007014,0.020496720961201916,0.001946241867434051,0.0013059802689043675,0.003591581461102063,67,-1.688315620801377,-1.688315611254499,-2.710803189162883,False,False
e1_readout_all_one,0.024739750406971225,0.019769495430844945,0.01976949478977211,0.01983629119505423,0.01976949478977211,0.001946241867434051,0.0013059802689043675,0.003591581461102063,68,-1.7040044148742974,-1.7040044289573275,-2.710803189162883,False,False
e1_readout_all_one,0.025649808765159446,0.019068071221460745,0.0190680700917517,0.01913732356552954,0.019068070692021,0.001946241867434051,0.0013059802689043675,0.003591581461102063,69,-1.7196932346016336,-1.7196932466601558,-2.710803189162883,False,False
e1_readout_all_one,0.026593343864288212,0.01839153396380151,0.0183915332072126,0.018463332861673554,0.0183915332072126,0.001946241867434051,0.0013059802689043675,0.003591581461102063,70,-1.735382046497025,-1.7353820643629843,-2.710803189162883,False,False
e1_readout_all_one,0.027571587155257284,0.017738999551118743,0.017738999260195166,0.01781343942195141,0.017738999355270017,0.001946241867434051,0.0013059802689043675,0.003591581461102063,71,-1.7510708772709527,-1.7510708820658127,-2.710803189162883,False,False
e1_readout_all_one,0.0285858153882182,0.017109618061751316,0.017109616857670436,0.017186795034777144,0.017109617484357718,0.001946241867434051,0.0013059802689043675,0.003591581461102063,72,-1.7667596851126237,-1.766759699768641,-2.710803189162883,False,False
e1_readout_all_one,0.02963735227891953,0.016502566356400482,0.016502565725967623,0.01658258183161097,0.016502566159351622,0.001946241867434051,0.0013059802689043675,0.003591581461102063,73,-1.782448512285777,-1.7824485174714695,-2.710803189162883,False,False
e1_readout_all_one,0.030727570236348853,0.015917052863080823,0.015917053089746534,0.016000011219370405,0.015917053089746534,0.001946241867434051,0.0013059802689043675,0.003591581461102063,74,-1.7981373413588388,-1.7981373351742977,-2.710803189162883,False,False
e1_readout_all_one,0.03185789215392668,0.015352313843123763,0.015352314095601472,0.01543832285122422,0.015352314095601472,0.001946241867434051,0.0013059802689043675,0.003591581461102063,75,-1.8138261600193508,-1.8138261528771262,-2.710803189162883,False,False
e1_readout_all_one,0.0330297932665899,0.014807611735643626,0.014807611962686809,0.014896783634161094,0.01480761211017339,0.001946241867434051,0.0013059802689043675,0.003591581461102063,76,-1.8295149815645895,-1.8295149705799547,-2.710803189162883,False,False
e1_readout_all_one,0.03424480307618843,0.014282236336503863,0.014282236217937623,0.01437468677215363,0.014282236217937623,0.001946241867434051,0.0013059802689043675,0.003591581461102063,77,-1.845203784677419,-1.8452037882827832,-2.710803189162883,False,False
e1_readout_all_one,0.03550450734770819,0.013775501274988148,0.013775500726739442,0.013871350843687569,0.013775500726739442,0.001946241867434051,0.0013059802689043675,0.003591581461102063,78,-1.8608925887012029,-1.8608926059856115,-2.710803189162883,False,False
e1_readout_all_one,0.036810550178925774,0.013286744646608157,0.013286744272865771,0.013386118912324243,0.013286744272865771,0.001946241867434051,0.0013059802689043675,0.003591581461102063,79,-1.876581411472185,-1.87658142368844,-2.710803189162883,False,False
e1_readout_all_one,0.03816463614619563,0.012815328593958711,0.01281532895786914,0.012918357669257417,0.01281532895786914,0.001946241867434051,0.0013059802689043675,0.003591581461102063,80,-1.8922702537237097,-1.8922702413912682,-2.710803189162883,False,False
e1_readout_all_one,0.03956853252917087,0.012360640129586108,0.012360639516017164,0.012467456606669234,0.012360639516017164,0.001946241867434051,0.0013059802689043675,0.003591581461102063,81,-1.907959037536183,-1.9079590590940967,-2.710803189162883,False,False
e1_readout_all_one,0.041024071617361005,0.011922083980907295,0.011922082511281028,0.012032827220926603,0.011922082511281028,0.001946241867434051,0.0013059802689043675,0.003591581461102063,82,-1.9236478232617698,-1.9236478767969252,-2.710803189162883,False,False
e1_readout_all_one,0.04253315310153683,0.011499086609634048,0.01149908556281495,0.01161390224442825,0.01149908556281495,0.001946241867434051,0.0013059802689043675,0.003591581461102063,83,-1.9393366549637632,-1.9393366944997537,-2.710803189162883,False,False
e1_readout_all_one,0.04409774655310396,0.011091097751379238,0.0110910965979157,0.011210134905122878,0.0110910965979157,0.001946241867434051,0.0013059802689043675,0.003591581461102063,84,-1.9550254670363696,-1.955025512202582,-2.710803189162883,False,False
e1_readout_all_one,0.0457198939946808,0.01069758465318721,0.010697583131487196,0.010820998212846572,0.010697583131487196,0.001946241867434051,0.0013059802689043675,0.003591581461102063,85,-1.9707142681282908,-1.9707143299054104,-2.710803189162883,False,False
e1_readout_all_one,0.04740171256523574,0.010318032780103487,0.010318031571069837,0.010445984271474782,0.010318031571069837,0.001946241867434051,0.0013059802689043675,0.003591581461102063,86,-1.9864030967190154,-1.9864031476082387,-2.710803189162883,False,False
e1_readout_all_one,0.04914539728326235,0.00995194822039441,0.009951946546527406,0.010084603615899685,0.009951946546527406,0.001946241867434051,0.0013059802689043675,0.003591581461102063,87,-2.002091892264941,-2.002091965311067,-2.710803189162883,False,False
e1_readout_all_one,0.05095322391159854,0.00959885177737239,0.009598850263516838,0.009736384573184124,0.009598850263516838,0.001946241867434051,0.0013059802689043675,0.003591581461102063,88,-2.0177807145203737,-2.0177807830138956,-2.710803189162883,False,False
e1_readout_all_one,0.05282755192762893,0.009258283672447413,0.00925828187989691,0.009400872646795465,0.00925828187989691,0.001946241867434051,0.0013059802689043675,0.003591581461102063,89,-2.0334695166304186,-2.0334696007167237,-2.710803189162883,False,False
e1_readout_all_one,0.05477082760274706,0.008929798565574527,0.008929796904262032,0.009077629923397357,0.008929796904262032,0.001946241867434051,0.0013059802689043675,0.003591581461102063,90,-2.0491583376227784,-2.049158418419552,-2.710803189162883,False,False
e1_readout_all_one,0.0567855871950961,0.008612968205831437,0.008612966615816156,0.008766234501113981,0.008612966615816156,0.001946241867434051,0.0013059802689043675,0.003591581461102063,91,-2.0648471559485184,-2.0648472361223806,-2.710803189162883,False,False
e1_readout_all_one,0.05887446025975565,0.008307378898654927,0.008307377504829629,0.008466279938819534,0.008307377504829629,0.001946241867434051,0.0013059802689043675,0.003591581461102063,92,-2.0805359809585813,-2.080536053825209,-2.710803189162883,False,False
e1_readout_all_one,0.06104017308069476,0.008012632332908042,0.008012630732948656,0.008177374725540037,0.008012630732948656,0.001946241867434051,0.0013059802689043675,0.003591581461102063,93,-2.0962247848082716,-2.0962248715280376,-2.710803189162883,False,False
e1_readout_all_one,0.0632855522289698,0.007728343217939652,0.007728341612653127,0.007899141769304549,0.007728341612653127,0.001946241867434051,0.0013059802689043675,0.003591581461102063,94,-2.1119135990217317,-2.111913689230866,-2.710803189162883,False,False
e1_readout_all_one,0.06561352825181202,0.007454140695883672,0.007454139105183283,0.007631217904880459,0.007454139105183283,0.001946241867434051,0.0013059802689043675,0.003591581461102063,95,-2.127602414256013,-2.127602506933694,-2.710803189162883,False,False
e1_readout_all_one,0.0680271394974192,0.007189667276202007,0.007189665336280018,0.00737325341959282,0.007189665336280018,0.001946241867434051,0.0013059802689043675,0.003591581461102063,96,-2.1432912074548094,-2.1432913246365226,-2.710803189162883,False,False
e1_readout_all_one,0.07052953608044284,0.006934577025199825,0.006934575129106808,0.007124911596763197,0.006934575129106808,0.001946241867434051,0.0013059802689043675,0.003591581461102063,97,-2.158980023591972,-2.158980142339351,-2.710803189162883,False,False
e1_readout_all_one,0.07312398399334731,0.006688537669649282,0.006688535553743583,0.006885868276015437,0.006688535553743583,0.001946241867434051,0.0013059802689043675,0.003591581461102063,98,-2.1746688226539552,-2.1746689600421796,-2.710803189162883,False,False
e1_readout_all_one,0.07581386936900637,0.006451227650054313,0.006451225492664631,0.006655811430039639,0.006451225492664631,0.001946241867434051,0.0013059802689043675,0.003591581461102063,99,-2.1903576325102336,-2.190357777745008,-2.710803189162883,False,False
e1_readout_all_one,0.0786027029001002,0.006222337598260409,0.006222335221633411,0.006434440757121243,0.006222335221633411,0.001946241867434051,0.0013059802689043675,0.003591581461102063,100,-2.2060464295686675,-2.206046595447836,-2.710803189162883,False,False
e1_readout_all_one,0.08149412442108146,0.006001568236207519,0.00600156600546724,0.0062214672889796055,0.00600156600546724,0.001946241867434051,0.0013059802689043675,0.003591581461102063,101,-2.221735251726461,-2.2217354131506646,-2.710803189162883,False,False
