snapshot_index,scheduled_utc,hours_from_first_snapshot,readout_all_zero_error,readout_all_zero_shot_noise_floor,readout_all_one_error,readout_all_one_shot_noise_floor,heatmap_column,readout_all_zero_zscore,readout_all_one_zscore
27,2026-08-01T02:57:00+00:00,11.25,0.0673828125,0.007833868843316626,0.0732421875,0.00814167576413214,28,-0.9139743437554657,-0.9673185867963205
28,2026-08-01T03:22:00+00:00,11.666666666666666,0.072265625,0.00809147557590506,0.11328125,0.009904258888937582,29,-0.6021195807942834,0.048270658303690143
29,2026-08-01T03:47:00+00:00,12.083333333333334,0.0712890625,0.008040846168005602,0.103515625,0.009519723582682587,30,-0.6644905333865199,-0.19943403562314174
30,2026-08-01T04:12:00+00:00,12.5,0.06640625,0.007780965102775043,0.09765625,0.009276540621075845,31,-0.9763452963477023,-0.34805685197924086
31,2026-08-01T04:37:00+00:00,12.916666666666666,0.0654296875,0.007727578673929491,0.1357421875,0.010703581013675894,32,-1.0387162489399386,0.6179914543354035
32,2026-08-01T05:02:00+00:00,13.333333333333334,0.064453125,0.007673699482504346,0.2744140625,0.013944329352677505,33,-1.101087201532175,4.135398108096417
33,2026-08-01T05:27:00+00:00,13.75,0.0859375,0.00875849175520122,0.1171875,0.010051361743280713,34,0.2710737554970274,0.1473525358744229
34,2026-08-03T04:32:00+00:00,60.833333333333336,0.0947265625,0.009151152637064317,0.09375,0.009108768606532047,35,0.8324123288271557,-0.44713872954997363
35,2026-08-03T04:57:00+00:00,61.25,0.091796875,0.009023093675280399,0.115234375,0.009978268076524683,36,0.6452994710504463,0.09781159708905653
36,2026-08-03T05:22:00+00:00,61.666666666666664,0.0927734375,0.00906608370922578,0.0986328125,0.009317761768438746,37,0.7076704236426827,-0.3232863825865577
37,2026-08-03T05:47:00+00:00,62.083333333333336,0.08984375,0.008936180550874607,0.083984375,0.00866763690108679,38,0.5205575658659732,-0.6948434234768055
38,2026-08-03T06:12:00+00:00,62.5,0.0927734375,0.00906608370922578,0.0771484375,0.008338338372116985,39,0.7076704236426827,-0.8682367092255878
39,2026-08-03T06:37:00+00:00,62.916666666666664,0.0986328125,0.009317761768438746,0.0791015625,0.00843428789032329,40,1.0818961391961015,-0.8186957704402215
40,2026-08-03T07:02:00+00:00,63.333333333333336,0.0986328125,0.009317761768438746,0.185546875,0.012148142869326518,41,1.0818961391961015,1.8812853933622462
41,2026-08-03T07:27:00+00:00,63.75,0.0849609375,0.00871323619329117,0.087890625,0.00884799274537322,42,0.2087028029047909,-0.5957615459060728
42,2026-08-03T07:52:00+00:00,64.16666666666667,0.0927734375,0.00906608370922578,0.185546875,0.012148142869326518,43,0.7076704236426827,1.8812853933622462
43,2026-08-03T08:17:00+00:00,64.58333333333333,0.09765625,0.009276540621075845,0.1220703125,0.010230218683997639,44,1.019525186603865,0.27120488283783883
44,2026-08-03T08:42:00+00:00,65.0,0.078125,0.008386505877596517,0.076171875,0.008289778654205849,45,-0.22789386524086447,-0.8930071786182711
45,2026-08-03T09:07:00+00:00,65.41666666666667,0.095703125,0.00919323996212464,0.08984375,0.008936180550874607,46,0.8947832814193921,-0.5462206071207064
46,2026-08-03T09:32:00+00:00,65.83333333333333,0.0927734375,0.00906608370922578,0.0859375,0.00875849175520122,47,0.7076704236426827,-0.6453024846914391
47,2026-08-03T09:57:00+00:00,66.25,0.0927734375,0.00906608370922578,0.08203125,0.008575385151212638,48,0.7076704236426827,-0.7443843622621719
48,2026-08-03T10:22:00+00:00,66.66666666666667,0.10546875,0.009598639469297723,0.0732421875,0.00814167576413214,49,1.518492807341757,-0.9673185867963205
49,2026-08-03T10:47:00+00:00,67.08333333333333,0.1044921875,0.009559311674942717,0.1396484375,0.01083193481875615,50,1.4561218547495205,0.7170733319061362
50,2026-08-03T11:12:00+00:00,67.5,0.0859375,0.00875849175520122,0.1533203125,0.011259249421434997,51,0.2710737554970274,1.0638599034037008
51,2026-08-03T11:37:00+00:00,67.91666666666667,0.08984375,0.008936180550874607,0.1708984375,0.0117631310255176,52,0.5205575658659732,1.5097283524719982
52,2026-08-03T12:02:00+00:00,68.33333333333333,0.0869140625,0.008803408887847199,0.080078125,0.008481690925375554,53,0.33344470808926385,-0.7939253010475382
53,2026-08-03T12:27:00+00:00,68.75,0.09375,0.009108768606532047,0.0791015625,0.00843428789032329,54,0.7700413762349192,-0.8186957704402215
54,2026-08-03T12:52:00+00:00,69.16666666666667,0.09765625,0.009276540621075845,0.080078125,0.008481690925375554,55,1.019525186603865,-0.7939253010475382
55,2026-08-03T13:17:00+00:00,69.58333333333333,0.08203125,0.008575385151212638,0.0712890625,0.008040846168005602,56,0.02158994512808145,-1.016859525581687
56,2026-08-03T13:42:00+00:00,70.0,0.08984375,0.008936180550874607,0.103515625,0.009519723582682587,57,0.5205575658659732,-0.19943403562314174
57,2026-08-03T14:07:00+00:00,70.41666666666667,0.091796875,0.009023093675280399,0.1162109375,0.010014928091265257,58,0.6452994710504463,0.12258206648173971
58,2026-08-03T14:32:00+00:00,70.83333333333333,0.10546875,0.009598639469297723,0.181640625,0.012048376947131319,59,1.518492807341757,1.7822035157915133
59,2026-08-03T14:57:00+00:00,71.25,0.076171875,0.008289778654205849,0.0732421875,0.00814167576413214,60,-0.35263577042533745,-0.9673185867963205
60,2026-08-03T15:22:00+00:00,71.66666666666667,0.111328125,0.009829313500474474,0.09765625,0.009276540621075845,61,1.892718522895176,-0.34805685197924086
61,2026-08-03T15:47:00+00:00,72.08333333333333,0.0908203125,0.008979794122246455,0.083984375,0.00866763690108679,62,0.5829285184582098,-0.6948434234768055
62,2026-08-03T16:12:00+00:00,72.5,0.1064453125,0.009637710152275526,0.0986328125,0.009317761768438746,63,1.5808637599339934,-0.3232863825865577
63,2026-08-03T16:37:00+00:00,72.91666666666667,0.08203125,0.008575385151212638,0.0859375,0.00875849175520122,64,0.02158994512808145,-0.6453024846914391
64,2026-08-03T17:02:00+00:00,73.33333333333333,0.0869140625,0.008803408887847199,0.076171875,0.008289778654205849,65,0.33344470808926385,-0.8930071786182711
65,2026-08-03T17:27:00+00:00,73.75,0.0830078125,0.008621688424719049,0.078125,0.008386505877596517,66,0.08396089772031792,-0.8434662398329047
66,2026-08-03T17:52:00+00:00,74.16666666666667,0.0966796875,0.0092350346382898,0.0888671875,0.008892248340694155,67,0.9571542340116287,-0.5709910765133895
67,2026-08-03T18:17:00+00:00,74.58333333333333,0.1015625,0.00943975338338926,0.1611328125,0.011489169034926975,68,1.269008996972811,1.2620236585451663
68,2026-08-03T18:42:00+00:00,75.0,0.091796875,0.009023093675280399,0.08203125,0.008575385151212638,69,0.6452994710504463,-0.7443843622621719
69,2026-08-03T19:07:00+00:00,75.41666666666667,0.0869140625,0.008803408887847199,0.09375,0.009108768606532047,70,0.33344470808926385,-0.44713872954997363
70,2026-08-03T19:32:00+00:00,75.83333333333333,0.0771484375,0.008338338372116985,0.0830078125,0.008621688424719049,71,-0.29026481783310093,-0.7196138928694887
71,2026-08-03T19:57:00+00:00,76.25,0.0859375,0.00875849175520122,0.0908203125,0.008979794122246455,72,0.2710737554970274,-0.5214501377280232
72,2026-08-03T20:22:00+00:00,76.66666666666667,0.08984375,0.008936180550874607,0.0869140625,0.008803408887847199,73,0.5205575658659732,-0.6205320152987559
73,2026-08-03T20:47:00+00:00,77.08333333333333,0.0947265625,0.009151152637064317,0.169921875,0.011736379713763068,74,0.8324123288271557,1.484957883079315
74,2026-08-03T21:12:00+00:00,77.5,0.09765625,0.009276540621075845,0.19921875,0.012481652145516524,75,1.019525186603865,2.2280719648598106
75,2026-08-03T21:37:00+00:00,77.91666666666667,0.08203125,0.008575385151212638,0.095703125,0.00919323996212464,76,0.02158994512808145,-0.3975977907646073
76,2026-08-03T22:02:00+00:00,78.33333333333333,0.0908203125,0.008979794122246455,0.0859375,0.00875849175520122,77,0.5829285184582098,-0.6453024846914391
77,2026-08-03T22:27:00+00:00,78.75,0.1142578125,0.009941379194841124,0.0947265625,0.009151152637064317,78,2.079831380671885,-0.42236826015729045
